Date,PET,P,ET,R
1988,915.5,4103.1,820.6,3282.5
1989,873.7,3532.9,774,2758.9
1990,909.8,4407.3,822,3585.3
1991,931.4,3016.4,801.3,2215.1
1992,826.9,3705.5,741.1,2964.4
1993,861.1,2440.6,725.6,1715
1994,923.4,3535.2,812.7,2722.5
1995,890.7,2517.6,750.2,1767.4
1996,894.8,4018.2,802.2,3216
1997,887.7,3229.6,776.2,2453.4
1998,945.1,5736.6,871.4,4865.2
1999,914.4,2887.5,783.8,2103.7
2000,914.2,5199.7,838.3,4361.4
2001,913.9,5134.3,837.2,4297.1
2002,937.5,2512,782.4,1729.6
2003,930.9,2433.8,773.6,1660.2
2004,894.5,4475.2,810.8,3664.4
2005,906.4,4772.6,825.5,3947.1
2006,922.2,3739.7,817.3,2922.4
2007,915.5,4774.1,833.1,3941
2008,867,4214.5,783.6,3430.9
2009,925.8,3452.6,812.1,2640.5
2010,851.3,3518.3,756.1,2762.2
2011,902.8,4213.8,812.6,3401.2
