Date,PET,P,ET,R
1988,915.5,4103.1,895.7,3207.4
1989,873.7,3532.9,850.6,2682.3
1990,909.8,4407.3,892.8,3514.5
1991,931.4,3016.4,893.8,2122.6
1992,826.9,3705.5,809,2896.5
1993,861.1,2440.6,816.6,1624
1994,923.4,3535.2,896.3,2638.9
1995,890.7,2517.6,844.4,1673.2
1996,894.8,4018.2,875.5,3142.7
1997,887.7,3229.6,859,2370.6
1998,945.1,5736.6,933.8,4802.8
1999,914.4,2887.5,875.7,2011.8
2000,914.2,5199.7,901.7,4298
2001,913.9,5134.3,901.1,4233.2
2002,937.5,2512,883.7,1628.3
2003,930.9,2433.8,875.1,1558.7
2004,894.5,4475.2,878.8,3596.4
2005,906.4,4772.6,892,3880.6
2006,922.2,3739.7,898,2841.7
2007,915.5,4774.1,900.7,3873.4
2008,867,4214.5,850.9,3363.6
2009,925.8,3452.6,897.2,2555.4
2010,851.3,3518.3,829.7,2688.6
2011,902.8,4213.8,884.7,3329.1
