Date,PET,P,ET,R
1988,915.5,4103.1,915.3,3187.8
1989,873.7,3532.9,873.2,2659.7
1990,909.8,4407.3,909.7,3497.6
1991,931.4,3016.4,928.5,2087.9
1992,826.9,3705.5,826.7,2878.8
1993,861.1,2440.6,855.2,1585.4
1994,923.4,3535.2,922.5,2612.7
1995,890.7,2517.6,884.5,1633.1
1996,894.8,4018.2,894.6,3123.6
1997,887.7,3229.6,886.5,2343.1
1998,945.1,5736.6,945.1,4791.5
1999,914.4,2887.5,911.1,1976.4
2000,914.2,5199.7,914.2,4285.5
2001,913.9,5134.3,913.9,4220.4
2002,937.5,2512,928.7,1583.3
2003,930.9,2433.8,921,1512.8
2004,894.5,4475.2,894.4,3580.8
2005,906.4,4772.6,906.4,3866.2
2006,922.2,3739.7,921.6,2818.1
2007,915.5,4774.1,915.4,3858.7
2008,867,4214.5,866.9,3347.6
2009,925.8,3452.6,924.7,2527.9
2010,851.3,3518.3,850.9,2667.4
2011,902.8,4213.8,902.6,3311.2
