Date,PET,P,ET,R
1988,915.5,4103.1,866.6,3236.5
1989,873.7,3532.9,822.1,2710.8
1990,909.8,4407.3,864.8,3542.5
1991,931.4,3016.4,862.6,2153.8
1992,826.9,3705.5,782.7,2922.8
1993,861.1,2440.6,787.7,1652.9
1994,923.4,3535.2,865.8,2669.4
1995,890.7,2517.6,814.6,1703
1996,894.8,4018.2,847.1,3171.1
1997,887.7,3229.6,829.5,2400.1
1998,945.1,5736.6,907.5,4829.1
1999,914.4,2887.5,845,2042.5
2000,914.2,5199.7,875.4,4324.3
2001,913.9,5134.3,874.7,4259.6
2002,937.5,2512,852.4,1659.6
2003,930.9,2433.8,844.1,1589.7
2004,894.5,4475.2,851.6,3623.6
2005,906.4,4772.6,865,3907.6
2006,922.2,3739.7,867.9,2871.8
2007,915.5,4774.1,873.3,3900.8
2008,867,4214.5,824.2,3390.3
2009,925.8,3452.6,866.6,2586
2010,851.3,3518.3,802.1,2716.2
2011,902.8,4213.8,856.5,3357.3
