Date,PET,P,ET,R
1988,915.5,4103.1,562.6,3540.5
1989,873.7,3532.9,523.6,3009.3
1990,909.8,4407.3,569.3,3838
1991,931.4,3016.4,526.2,2490.2
1992,826.9,3705.5,508.1,3197.4
1993,861.1,2440.6,467.9,1972.7
1994,923.4,3535.2,545.8,2989.4
1995,890.7,2517.6,483.6,2034
1996,894.8,4018.2,550.1,3468.1
1997,887.7,3229.6,517.7,2711.9
1998,945.1,5736.6,620.6,5116
1999,914.4,2887.5,512.9,2374.6
2000,914.2,5199.7,592.3,4607.4
2001,913.9,5134.3,590.6,4543.7
2002,937.5,2512,500.7,2011.3
2003,930.9,2433.8,493.4,1940.4
2004,894.5,4475.2,563.8,3911.4
2005,906.4,4772.6,577.7,4194.9
2006,922.2,3739.7,553.1,3186.6
2007,915.5,4774.1,582.3,4191.8
2008,867,4214.5,542.9,3671.6
2009,925.8,3452.6,543.5,2909.1
2010,851.3,3518.3,513,3005.3
2011,902.8,4213.8,560.1,3653.7
