Date,PET,P,ET,R
1977,701.2,2367.1,651.6,1715.5
1978,652.5,2373.2,609.7,1763.5
1979,656.2,2718.3,618.4,2099.9
1980,663,1932.2,608.2,1324
1981,646.8,2853.1,611.7,2241.4
1982,652.4,2103.2,604,1499.2
1983,669.1,2500.1,626.4,1873.7
1984,646.3,2812.2,610.8,2201.4
1985,650.1,3101.8,617.4,2484.4
1986,645.2,2938.9,611.3,2327.6
1987,650.7,2577.7,611.5,1966.2
1988,656.1,1980.7,603.9,1376.8
1989,646.1,2524.7,606.6,1918.1
1990,657.9,3300.5,626.4,2674.1
1991,661.9,2218.9,614.7,1604.2
1992,638.6,2821.7,604,2217.7
1993,665.1,1507.2,591.6,915.6
1994,670.9,2982.3,634.8,2347.5
1995,648.8,1711.4,588.9,1122.5
1996,662.6,2549.9,621.5,1928.4
1997,630,2710.2,595,2115.2
1998,670.5,3342.7,638.2,2704.5
1999,647,1940.3,595.1,1345.2
2000,646.3,3023.1,613.2,2409.9
2001,644.9,3231.6,614,2617.6
2002,657.1,1707.4,595.4,1112
2003,652.3,1369.4,573.1,796.3
2004,628,3408.6,600.1,2808.5
2005,630.6,3913.5,606,3307.5
2006,656.2,2456.5,614.4,1842.1
2007,640.9,3245.2,610.5,2634.7
2008,634.7,3056.8,603.1,2453.7
2009,642.6,1915.2,590.8,1324.4
2010,630.1,2062.9,584.1,1478.8
2011,641.3,2070.4,593.8,1476.6
