Date,PET,P,ET,R
1977,701.2,2367.1,675.1,1692
1978,652.5,2373.2,631.4,1741.8
1979,656.2,2718.3,639.6,2078.7
1980,663,1932.2,630.4,1301.8
1981,646.8,2853.1,632.3,2220.8
1982,652.4,2103.2,625.9,1477.3
1983,669.1,2500.1,648.5,1851.6
1984,646.3,2812.2,631.5,2180.7
1985,650.1,3101.8,637.6,2464.2
1986,645.2,2938.9,631.6,2307.3
1987,650.7,2577.7,632.8,1944.9
1988,656.1,1980.7,625.9,1354.8
1989,646.1,2524.7,627.9,1896.8
1990,657.9,3300.5,646.4,2654.1
1991,661.9,2218.9,636.9,1582
1992,638.6,2821.7,624.4,2197.3
1993,665.1,1507.2,613.5,893.7
1994,670.9,2982.3,656.1,2326.2
1995,648.8,1711.4,610.5,1100.9
1996,662.6,2549.9,643.3,1906.6
1997,630,2710.2,615.2,2095
1998,670.5,3342.7,658.7,2684
1999,647,1940.3,616.9,1323.4
2000,646.3,3023.1,633.4,2389.7
2001,644.9,3231.6,633.6,2598
2002,657.1,1707.4,617.2,1090.2
2003,652.3,1369.4,594.4,775
2004,628,3408.6,618.6,2790
2005,630.6,3913.5,623.4,3290.1
2006,656.2,2456.5,636.1,1820.4
2007,640.9,3245.2,629.9,2615.3
2008,634.7,3056.8,622.7,2434.1
2009,642.6,1915.2,612.3,1302.9
2010,630.1,2062.9,605.2,1457.7
2011,641.3,2070.4,615.3,1455.1
