Date,PET,P,ET,R
1977,701.2,2367.1,699.6,1667.5
1978,652.5,2373.2,651.6,1721.6
1979,656.2,2718.3,655.9,2062.4
1980,663,1932.2,659.1,1273.1
1981,646.8,2853.1,646.6,2206.5
1982,652.4,2103.2,650.3,1452.9
1983,669.1,2500.1,668.3,1831.8
1984,646.3,2812.2,646.1,2166.1
1985,650.1,3101.8,650,2451.8
1986,645.2,2938.9,645.1,2293.8
1987,650.7,2577.7,650.2,1927.5
1988,656.1,1980.7,653,1327.7
1989,646.1,2524.7,645.6,1879.1
1990,657.9,3300.5,657.8,2642.7
1991,661.9,2218.9,660.3,1558.6
1992,638.6,2821.7,638.4,2183.3
1993,665.1,1507.2,650.9,856.3
1994,670.9,2982.3,670.7,2311.6
1995,648.8,1711.4,642.2,1069.2
1996,662.6,2549.9,662,1887.9
1997,630,2710.2,629.8,2080.4
1998,670.5,3342.7,670.4,2672.3
1999,647,1940.3,643.8,1296.5
2000,646.3,3023.1,646.2,2376.9
2001,644.9,3231.6,644.8,2586.8
2002,657.1,1707.4,649.9,1057.5
2003,652.3,1369.4,633,736.4
2004,628,3408.6,628,2780.6
2005,630.6,3913.5,630.6,3282.9
2006,656.2,2456.5,655.5,1801
2007,640.9,3245.2,640.8,2604.4
2008,634.7,3056.8,634.6,2422.2
2009,642.6,1915.2,639.3,1275.9
2010,630.1,2062.9,628.3,1434.6
2011,641.3,2070.4,639.3,1431.1
